"","Date","country","cases","year"
"135",2003-06-08,"Romania",568,2003
"136",2003-06-08,"Uruguay",157,2003
"137",2003-06-15,"Argentina",258,2003
"138",2003-06-15,"Bolivia",521,2003
"139",2003-06-15,"Brazil",334,2003
"140",2003-06-15,"Chile",3,2003
"141",2003-06-15,"Peru",410,2003
"142",2003-06-15,"Romania",561,2003
"143",2003-06-15,"Uruguay",221,2003
"144",2003-06-22,"Argentina",278,2003
"145",2003-06-22,"Bolivia",526,2003
"146",2003-06-22,"Brazil",279,2003
"147",2003-06-22,"Chile",3,2003
"148",2003-06-22,"Peru",427,2003
"149",2003-06-22,"Romania",553,2003
"150",2003-06-22,"Uruguay",308,2003
"151",2003-06-29,"Argentina",348,2003
"152",2003-06-29,"Bolivia",506,2003
"153",2003-06-29,"Brazil",266,2003
"154",2003-06-29,"Chile",4,2003
"155",2003-06-29,"Peru",394,2003
"156",2003-06-29,"Romania",553,2003
"157",2003-06-29,"Uruguay",251,2003
"158",2003-07-06,"Argentina",325,2003
"159",2003-07-06,"Bolivia",480,2003
"160",2003-07-06,"Brazil",256,2003
"161",2003-07-06,"Chile",4,2003
"162",2003-07-06,"Peru",371,2003
"163",2003-07-06,"Romania",545,2003
"164",2003-07-06,"Uruguay",205,2003
"165",2003-07-13,"Argentina",307,2003
"166",2003-07-13,"Bolivia",475,2003
"167",2003-07-13,"Brazil",272,2003
"168",2003-07-13,"Chile",6,2003
"169",2003-07-13,"Peru",441,2003
"170",2003-07-13,"Romania",541,2003
"171",2003-07-13,"Uruguay",199,2003
"172",2003-07-20,"Argentina",239,2003
"173",2003-07-20,"Bolivia",523,2003
"174",2003-07-20,"Brazil",260,2003
"175",2003-07-20,"Chile",4,2003
"176",2003-07-20,"Peru",394,2003
"177",2003-07-20,"Romania",528,2003
"178",2003-07-20,"Uruguay",189,2003
"179",2003-07-27,"Argentina",229,2003
"180",2003-07-27,"Bolivia",520,2003
"181",2003-07-27,"Brazil",225,2003
"182",2003-07-27,"Chile",2,2003
"183",2003-07-27,"Peru",382,2003
"184",2003-07-27,"Romania",522,2003
"185",2003-07-27,"Uruguay",173,2003
"186",2003-08-03,"Argentina",235,2003
"187",2003-08-03,"Bolivia",566,2003
"188",2003-08-03,"Brazil",223,2003
"189",2003-08-03,"Chile",3,2003
"190",2003-08-03,"Peru",388,2003
"191",2003-08-03,"Romania",510,2003
"192",2003-08-03,"Uruguay",158,2003
"193",2003-08-10,"Argentina",225,2003
"194",2003-08-10,"Bolivia",557,2003
"195",2003-08-10,"Brazil",234,2003
"196",2003-08-10,"Chile",1,2003
"197",2003-08-10,"Peru",418,2003
"198",2003-08-10,"Romania",509,2003
"199",2003-08-10,"Uruguay",178,2003
"200",2003-08-17,"Argentina",201,2003
"201",2003-08-17,"Bolivia",595,2003
"202",2003-08-17,"Brazil",262,2003
"203",2003-08-17,"Chile",0,2003
"204",2003-08-17,"Peru",383,2003
"205",2003-08-17,"Romania",496,2003
"206",2003-08-17,"Uruguay",184,2003
"207",2003-08-24,"Argentina",192,2003
"208",2003-08-24,"Bolivia",578,2003
"209",2003-08-24,"Brazil",264,2003
"210",2003-08-24,"Chile",1,2003
"211",2003-08-24,"Peru",468,2003
"212",2003-08-24,"Romania",502,2003
"213",2003-08-24,"Uruguay",212,2003
"214",2003-08-31,"Argentina",224,2003
"215",2003-08-31,"Bolivia",641,2003
"216",2003-08-31,"Brazil",247,2003
"217",2003-08-31,"Chile",2,2003
"218",2003-08-31,"Peru",510,2003
"219",2003-08-31,"Romania",500,2003
"220",2003-08-31,"Uruguay",214,2003
"221",2003-09-07,"Argentina",210,2003
"222",2003-09-07,"Bolivia",625,2003
"223",2003-09-07,"Brazil",246,2003
"224",2003-09-07,"Chile",2,2003
"225",2003-09-07,"Peru",544,2003
"226",2003-09-07,"Romania",491,2003
"227",2003-09-07,"Uruguay",208,2003
"228",2003-09-14,"Argentina",204,2003
"229",2003-09-14,"Bolivia",613,2003
"230",2003-09-14,"Brazil",228,2003
"231",2003-09-14,"Chile",3,2003
"232",2003-09-14,"Peru",630,2003
"233",2003-09-14,"Romania",490,2003
"234",2003-09-14,"Uruguay",182,2003
"235",2003-09-21,"Argentina",213,2003
"236",2003-09-21,"Bolivia",607,2003
"237",2003-09-21,"Brazil",230,2003
"238",2003-09-21,"Chile",3,2003
"239",2003-09-21,"Peru",576,2003
"240",2003-09-21,"Romania",509,2003
"241",2003-09-21,"Uruguay",162,2003
"242",2003-09-28,"Argentina",217,2003
"243",2003-09-28,"Austria",515,2003
"244",2003-09-28,"Belgium",50,2003
"245",2003-09-28,"Bolivia",553,2003
"246",2003-09-28,"Brazil",243,2003
"247",2003-09-28,"Canada",1280,2003
"248",2003-09-28,"Chile",2,2003
"249",2003-09-28,"France",25,2003
"250",2003-09-28,"Germany",839,2003
"251",2003-09-28,"Mexico",683,2003
"252",2003-09-28,"Peru",582,2003
"253",2003-09-28,"Romania",539,2003
"254",2003-09-28,"Spain",26,2003
"255",2003-09-28,"United States",902,2003
"256",2003-09-28,"Uruguay",149,2003
"257",2003-10-05,"Argentina",205,2003
"258",2003-10-05,"Austria",752,2003
"259",2003-10-05,"Belgium",44,2003
"260",2003-10-05,"Bolivia",475,2003
"261",2003-10-05,"Brazil",216,2003
"262",2003-10-05,"Canada",1339,2003
"263",2003-10-05,"Chile",1,2003
"264",2003-10-05,"France",25,2003
"265",2003-10-05,"Germany",1040,2003
"266",2003-10-05,"Mexico",707,2003
"267",2003-10-05,"Netherlands",25,2003
"268",2003-10-05,"Peru",450,2003
